2024-06-04 21:46:24,538 INFO    StreamThr :849623 [internal.py:wandb_internal():85] W&B internal server running at pid: 849623, started at: 2024-06-04 21:46:24.536680
2024-06-04 21:46:24,542 DEBUG   HandlerThread:849623 [handler.py:handle_request():158] handle_request: status
2024-06-04 21:46:24,542 INFO    WriterThread:849623 [datastore.py:open_for_write():87] open: /hpi/fs00/home/jim.maar/interpretability/wandb/run-20240604_214624-06o2mkew/run-06o2mkew.wandb
2024-06-04 21:46:24,545 DEBUG   SenderThread:849623 [sender.py:send():378] send: header
2024-06-04 21:46:24,545 DEBUG   SenderThread:849623 [sender.py:send():378] send: run
2024-06-04 21:46:24,957 DEBUG   HandlerThread:849623 [handler.py:handle_request():158] handle_request: check_version
2024-06-04 21:46:24,958 INFO    SenderThread:849623 [dir_watcher.py:__init__():211] watching files in: /hpi/fs00/home/jim.maar/interpretability/wandb/run-20240604_214624-06o2mkew/files
2024-06-04 21:46:24,958 INFO    SenderThread:849623 [sender.py:_start_run_threads():1123] run started: 06o2mkew with start time 1717537584.532768
2024-06-04 21:46:24,958 DEBUG   SenderThread:849623 [sender.py:send_request():405] send_request: check_version
2024-06-04 21:46:25,051 DEBUG   HandlerThread:849623 [handler.py:handle_request():158] handle_request: run_start
2024-06-04 21:46:25,053 DEBUG   HandlerThread:849623 [system_info.py:__init__():26] System info init
2024-06-04 21:46:25,053 DEBUG   HandlerThread:849623 [system_info.py:__init__():41] System info init done
2024-06-04 21:46:25,053 INFO    HandlerThread:849623 [system_monitor.py:start():194] Starting system monitor
2024-06-04 21:46:25,053 INFO    SystemMonitor:849623 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-04 21:46:25,054 INFO    HandlerThread:849623 [system_monitor.py:probe():214] Collecting system info
2024-06-04 21:46:25,055 INFO    SystemMonitor:849623 [interfaces.py:start():188] Started cpu monitoring
2024-06-04 21:46:25,056 INFO    SystemMonitor:849623 [interfaces.py:start():188] Started disk monitoring
2024-06-04 21:46:25,057 INFO    SystemMonitor:849623 [interfaces.py:start():188] Started gpu monitoring
2024-06-04 21:46:25,058 INFO    SystemMonitor:849623 [interfaces.py:start():188] Started memory monitoring
